Date,Easting,Northing,Pool,Temp,Depth,Velocity,DO,Clarity,Stratum,Substrate,Veg_type,Veg_density,Veg_cover
01/29/2018,640455,4832712,Pool 08,0.4,0.48,0.03,14.3,90,Impounded lake,Silt,Submergent,Sparse,1 - 19%
01/29/2018,642055,4830112,Pool 08,0.3,1.51,0.11,13.1,165,Impounded lake,Silt,Submergent,Sparse,1 - 19%
01/29/2018,641055,4834312,Pool 08,0.2,0.49,0.03,13.4,83,Impounded lake,Silt,Submergent,Sparse,1 - 19%
01/29/2018,640855,4833712,Pool 08,0.3,0.1,0.02,16,54,Impounded lake,Silt,Emergent,Sparse,>50%
01/29/2024,640805,4842062,Pool 08,0.9,0.23,0,12.2,48,Side channel,Silt,S & E,Sparse,1 - 19%
01/29/2024,639305,4849012,Pool 08,0.9,0.41,0,8.8,70,Connected backwater,Silt,Emergent,Sparse,1 - 19%
01/30/2002,640505,4838562,Pool 08,0.9,0.07,0,18,17,Connected backwater,Silt,Emergent,Sparse,1 - 19%
01/30/2012,636655,4853112,Pool 08,1.9,0.32,0,1.3,56,Isolated,Silt,S & E,Dense,20 - 49%
01/30/2012,637455,4852912,Pool 08,1.2,0.23,0,3.3,49,Isolated,Silt,S & E,Sparse,1 - 19%
01/30/2012,637855,4853312,Pool 08,1,0.22,0,0.6,42,Isolated,Silt,S & E,Dense,>50%
01/30/2014,642855,4836912,Pool 08,0.3,0.71,0,9.3,115,Impounded lake,Silt,Submergent,Sparse,1 - 19%
01/30/2015,636855,4853312,Pool 08,1.7,0.46,0,1.4,70,Isolated,Silt,S & E,Dense,>50%
01/30/2015,637255,4852912,Pool 08,2.2,0.78,0,1,95,Isolated,Silt,S & E,Sparse,20 - 49%
01/30/2020,639605,4842762,Pool 08,1.3,0.66,0,7.4,93,Connected backwater,Silt,Emergent,Sparse,1 - 19%
01/30/2020,642655,4835512,Pool 08,0.2,1.19,0.05,11,83,Impounded lake,Silt,Submergent,Sparse,1 - 19%
01/31/2008,641955,4846862,Pool 08,1.5,0.31,0,0.3,55,Connected backwater,Silt,Submergent,Sparse,1 - 19%
01/31/2012,641205,4841162,Pool 08,0.3,0.38,0.1,14.2,58,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
01/31/2017,733458,4668251,Pool 13,0.3,0.39,0,10.4,60,Side channel,Silt/Clay/Sand,Emergent,Sparse,1 - 19%
01/31/2018,641905,4840612,Pool 08,0.9,0.15,0.09,13.8,51,Side channel,Sand,Emergent,Sparse,1 - 19%
01/31/2022,641405,4847362,Pool 08,0.1,1.47,0.04,12.4,109,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
02/01/2007,640305,4838712,Pool 08,0,0.05,0.04,15.7,18,Connected backwater,Sand,S & E,Sparse,1 - 19%
02/01/2008,642005,4834662,Pool 08,0,0.3,0,12.2,57,Side channel,Sand,Submergent,Sparse,1 - 19%
02/01/2010,639355,4850612,Pool 08,0,0.55,0.07,13.9,81,Side channel,Silt/Clay/Sand,Submergent,Sparse,20 - 49%
02/01/2016,643904,4843661,Pool 08,0.6,0.35,0.05,13,62,Side channel,Silt,Submergent,Sparse,1 - 19%
02/01/2021,639305,4843212,Pool 08,1,0.89,0,12.8,103,Connected backwater,Silt,Submergent,Sparse,1 - 19%
02/01/2022,642955,4845162,Pool 08,0.3,0.39,0,11.9,74,Side channel,Silt,Submergent,Sparse,1 - 19%
02/01/2023,639405,4835812,Pool 08,0.2,0.06,0.03,14.6,32,Side channel,Sand,Emergent,Sparse,1 - 19%
02/02/2005,641005,4842412,Pool 08,0.5,0.12,0,1.1,40,Side channel,Silt/Clay/Sand,Submergent,Sparse,>50%
02/02/2006,642205,4849062,Pool 08,1.7,0.65,0,13.5,81,Side channel,Silt/Clay/Sand,Submergent,Sparse,20 - 49%
02/02/2006,738208,4645601,Pool 13,2,0.41,0,14.4,41,Impounded lake,Silt/Clay/Sand,Emergent,Sparse,1 - 19%
02/02/2021,643255,4834512,Pool 08,0.9,0.2,0,10.1,39,Isolated,Silt,Submergent,Dense,1 - 19%
02/03/2020,638055,4853512,Pool 08,1.5,1.31,0,0.3,57,Isolated,Silt,Submergent,Sparse,1 - 19%
02/04/2010,641055,4849162,Pool 08,0,0.35,0,12.8,57,Side channel,Silt,Submergent,Sparse,20 - 49%
02/04/2016,640254,4834511,Pool 08,0.2,1.07,0,11.7,110,Impounded lake,Silt,Submergent,Sparse,1 - 19%
02/04/2020,642405,4847762,Pool 08,0.6,0.42,0.1,12,42,Connected backwater,Silt,Emergent,Sparse,1 - 19%
02/05/2009,642255,4834862,Pool 08,0,0.35,0.04,12.8,78,Side channel,Sand,Submergent,Sparse,1 - 19%
02/05/2016,641454,4835111,Pool 08,0,0.18,0.06,13.1,54,Impounded lake,Silt/Clay/Sand,S & E,Sparse,>50%
02/06/2007,641705,4844162,Pool 08,0.7,0.46,0,6.7,45,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
02/06/2019,641555,4842412,Pool 08,1.2,0.56,0,13.3,91,Side channel,Silt,S & E,Sparse,>50%
02/07/2017,642305,4846312,Pool 08,0.9,1.05,0,12.2,111,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
02/08/2006,637655,4852912,Pool 08,4,0.39,0,3.4,51,Isolated,Silt,S & E,Dense,>50%
02/08/2006,636855,4853312,Pool 08,5.5,0.4,0,19.7,52,Isolated,Silt,S & E,Dense,>50%
02/08/2007,637055,4853312,Pool 08,0.2,0.24,0,2.9,55,Isolated,Silt,Submergent,Dense,20 - 49%
02/11/2004,640105,4840762,Pool 08,0.7,1,0,1.7,110,Side channel,Silt,S & E,Sparse,1 - 19%
02/11/2009,640805,4840112,Pool 08,0.2,0.06,0,4.3,40,Connected backwater,Silt,S & E,Sparse,1 - 19%
04/20/1998,638055,4853512,Pool 08,14,0.35,0,17.1,35,Isolated,Silt,Submergent,Sparse,1 - 19%
04/20/1998,637255,4852912,Pool 08,12.8,0.39,0,7.7,39,Isolated,Silt,S & E,Sparse,1 - 19%
04/20/1998,637255,4853112,Pool 08,13.6,0.59,0,14.2,38,Isolated,Silt,S & E,Sparse,1 - 19%
04/20/2009,638055,4853712,Pool 08,12.1,0.2,0,6.1,20,Isolated,Silt,Submergent,Sparse,1 - 19%
04/20/2009,636655,4853512,Pool 08,11.2,0.51,0,9.3,51,Isolated,Silt,Floating,Sparse,1 - 19%
04/21/2015,644005,4844962,Pool 08,10.3,1.02,0,11.6,102,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
04/22/2009,642155,4846012,Pool 08,12.8,0.81,0.01,15,63,Side channel,Silt,Submergent,Sparse,1 - 19%
04/22/2009,643105,4845262,Pool 08,10.1,0.95,0.12,12.5,84,Connected backwater,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
04/22/2013,640754,4848211,Pool 08,5.6,1.6,0,11.1,121,Connected backwater,Silt,Submergent,Sparse,1 - 19%
04/22/2013,639854,4843911,Pool 08,7.5,1.14,0,10,39,Connected backwater,Silt,"S, E, & F",Dense,20 - 49%
04/22/2015,643255,4834512,Pool 08,6.8,0.44,0,9.9,44,Isolated,Silt,"S, E, & F",Sparse,>50%
04/22/2015,643455,4834912,Pool 08,7.5,0.62,0,8.2,62,Isolated,Silt,"S, E, & F",Dense,>50%
04/22/2015,637855,4852912,Pool 08,7,0.35,0,10.4,35,Isolated,Silt,"S, E, & F",Dense,>50%
04/22/2019,642255,4836112,Pool 08,11.3,1.9,0.03,10.4,50,Impounded lake,Silt,Submergent,Sparse,1 - 19%
04/22/2024,639755,4840612,Pool 08,12.1,0.32,0.04,16.2,32,Side channel,Silt/Clay/Sand,S & E,Sparse,1 - 19%
04/22/2024,583880,4909208,Pool 04,10.2,1.69,0.02,11.3,129,Connected backwater,Silt,Submergent,Sparse,1 - 19%
04/22/2024,637855,4852912,Pool 08,12.4,0.2,0,11.2,20,Isolated,Silt,Emergent,Sparse,1 - 19%
04/23/2007,732958,4664601,Pool 13,17.3,0.9,0,11,43,Connected backwater,Silt/Clay/Sand,Submergent,Dense,>50%
04/23/2007,641905,4845812,Pool 08,18.5,0.4,0,15.4,40,Connected backwater,Silt/Clay/Sand,S & E,Sparse,20 - 49%
04/23/2008,638855,4850762,Pool 08,13.6,1.68,0,15.5,90,Connected backwater,Silt,Submergent,Sparse,1 - 19%
04/23/2012,642305,4841212,Pool 08,14.8,0.37,0,14.5,37,Side channel,Silt,Submergent,Sparse,20 - 49%
04/23/2024,643355,4844912,Pool 08,12.4,0.48,0.11,13.3,48,Side channel,Silt,Emergent,Sparse,1 - 19%
04/24/2006,638405,4849862,Pool 08,15.9,1.11,0,11.9,95,Connected backwater,Silt,S & E,Dense,>50%
04/24/2006,636655,4853512,Pool 08,18,0.69,0,17.8,55,Isolated,Silt,S & E,Dense,>50%
04/24/2006,636655,4853112,Pool 08,18.6,0.41,0,19.9,41,Isolated,Silt,S & E,Dense,>50%
04/24/2006,637655,4852912,Pool 08,17.4,0.58,0,11.7,48,Isolated,Silt,S & E,Dense,>50%
04/24/2007,636655,4853312,Pool 08,16.8,0.37,0,14.8,37,Isolated,Silt,"S, E, & F",Dense,>50%
04/24/2012,541929,4936458,Pool 04,16.8,0.25,0,9.4,25,Connected backwater,Silt,Emergent,Sparse,>50%
04/24/2012,637255,4852912,Pool 08,15.7,0.62,0,11.7,62,Isolated,Silt,"S, E, & F",Sparse,>50%
04/24/2012,643255,4834312,Pool 08,15.7,0.37,0,12.6,37,Isolated,Silt,Submergent,Dense,>50%
04/24/2012,636655,4853312,Pool 08,16.6,0.45,0,12.4,45,Isolated,Silt,"S, E, & F",Sparse,>50%
04/24/2013,638254,4853512,Pool 08,10.1,0.64,0,13.1,64,Isolated,Silt,Submergent,Sparse,1 - 19%
04/24/2013,637454,4852912,Pool 08,8.1,0.71,0,13.3,71,Isolated,Silt,S & E,Sparse,>50%
04/24/2013,638054,4853112,Pool 08,7.3,0.63,0,12.2,63,Isolated,Silt,S & E,Dense,>50%
04/24/2013,637254,4852912,Pool 08,7.8,1.02,0,12.6,83,Isolated,Silt,Submergent,Sparse,>50%
04/24/2018,638055,4853711,Pool 08,17.9,0.42,0,18,42,Isolated,Silt,Emergent,Sparse,1 - 19%
04/24/2018,638055,4853511,Pool 08,16.9,0.9,0,15.7,50,Isolated,Silt,Submergent,Sparse,1 - 19%
04/24/2019,636855,4853512,Pool 08,10.5,2.51,0,11.4,65,Isolated,Silt,Submergent,Sparse,20 - 49%
04/24/2024,640055,4834912,Pool 08,15.2,0.47,0.06,18,47,Impounded lake,Silt,"S, E, & F",Sparse,1 - 19%
04/25/2000,643005,4847762,Pool 08,13.6,1,0,15.2,58,Side channel,Sand,Floating,Sparse,1 - 19%
04/25/2000,738208,4645601,Pool 13,13.7,0.36,0.04,17.6,36,Impounded lake,Sand,Submergent,Sparse,1 - 19%
04/25/2005,729908,4669351,Pool 13,12.7,0.58,0.05,9.1,37,Connected backwater,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
04/25/2011,638255,4853512,Pool 08,9.6,1.09,0,12.6,96,Isolated,Silt/Clay/Sand,S & E,Sparse,1 - 19%
04/25/2011,638055,4853112,Pool 08,10.8,1.24,0,15.1,99,Isolated,Silt/Clay/Sand,Emergent,Sparse,20 - 49%
04/25/2011,643455,4834912,Pool 08,13.5,1.22,0,13.2,97,Isolated,Silt,Submergent,Sparse,1 - 19%
04/25/2016,637654,4852912,Pool 08,15.1,0.28,0,8.2,28,Isolated,Silt,"S, E, & F",Sparse,>50%
04/25/2017,639805,4840362,Pool 08,14.7,0.76,0,11.2,76,Side channel,Silt,Submergent,Sparse,1 - 19%
04/25/2017,640055,4840562,Pool 08,14.7,1.02,0,10.6,71,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
04/26/2005,638405,4856362,Pool 08,11.5,1.38,0,8.7,111,Connected backwater,Silt,Emergent,Sparse,1 - 19%
04/26/2010,637855,4852912,Pool 08,15,0.36,0,10.9,36,Isolated,Silt,"S, E, & F",Dense,>50%
04/26/2010,637455,4852712,Pool 08,14.9,0.31,0,9.6,31,Isolated,Silt,"S, E, & F",Sparse,>50%
04/26/2010,643455,4834712,Pool 08,13.9,0.59,0,7.3,59,Isolated,Silt,"S, E, & F",Dense,>50%
04/26/2010,636855,4853712,Pool 08,13.3,0.71,0,8.1,71,Isolated,Silt,Submergent,Sparse,>50%
04/26/2018,642855,4837312,Pool 08,11.4,0.78,0.12,12.6,78,Impounded lake,Silt,Submergent,Sparse,>50%
04/26/2018,640255,4834712,Pool 08,11.4,1.3,0,14,78,Impounded lake,Silt,Submergent,Sparse,>50%
04/26/2018,642855,4837112,Pool 08,12.1,0.73,0.02,13.5,73,Impounded lake,Silt/Clay/Sand,Submergent,Sparse,>50%
04/27/2000,637655,4852912,Pool 08,16.6,0.45,0,7,45,Isolated,Silt,S & E,Sparse,>50%
04/27/2000,636655,4853112,Pool 08,17.4,0.35,0,5.9,35,Isolated,Silt,S & E,Dense,>50%
04/27/2000,637255,4853112,Pool 08,17.5,0.64,0,8,50,Isolated,Silt,S & E,Sparse,>50%
04/27/2000,638055,4853112,Pool 08,19.4,0.32,0,7.7,32,Isolated,Silt,S & E,Dense,>50%
04/27/2000,643455,4834512,Pool 08,19.5,0.6,0,11.8,50,Isolated,Silt,Submergent,Sparse,20 - 49%
04/27/2005,737758,4658601,Pool 13,10.8,0.59,0,12.5,31,Connected backwater,Silt/Clay/Sand,S & E,Sparse,20 - 49%
04/27/2006,640755,4843312,Pool 08,16.5,0.35,0.04,14.5,35,Side channel,Silt/Clay/Sand,S & E,Sparse,20 - 49%
04/27/2009,737458,4656451,Pool 13,16.1,0.6,0,9.8,48,Connected backwater,Silt/Clay/Sand,Emergent,Sparse,1 - 19%
04/27/2010,577479,4915958,Pool 04,19,0.31,0,15,31,Connected backwater,Silt,Submergent,Sparse,>50%
04/27/2021,640205,4839462,Pool 08,11.2,0.44,0,16.1,44,Connected backwater,Silt,S & E,Sparse,1 - 19%
04/27/2022,639905,4836512,Pool 08,8,0.48,0.04,13,48,Connected backwater,Silt,Submergent,Sparse,1 - 19%
04/27/2023,637055,4853112,Pool 08,8.4,2.95,0.14,10.7,77,Isolated,Silt,Submergent,Sparse,1 - 19%
04/27/2023,637855,4853312,Pool 08,8.4,2.51,0.05,10.5,79,Isolated,Silt/Clay/Sand,Emergent,Dense,>50%
04/27/2023,637455,4852912,Pool 08,8.3,2.69,0.07,10.3,81,Isolated,Silt,Emergent,Sparse,1 - 19%
04/28/1997,637255,4852912,Pool 08,14,1.5,0.01,18.7,60,Isolated,Silt,S & E,Dense,20 - 49%
04/28/1997,636655,4853312,Pool 08,14,1.27,0.06,16.9,61,Isolated,Silt,Emergent,Dense,20 - 49%
04/28/1997,638055,4853512,Pool 08,12.3,3.66,0.01,12.3,66,Isolated,Silt,Emergent,Dense,1 - 19%
04/28/2010,639355,4844412,Pool 08,17.2,0.46,0,9.1,46,Connected backwater,Silt,"S, E, & F",Dense,>50%
04/28/2010,643755,4840562,Pool 08,14.2,0.44,0.11,12.6,44,Connected backwater,Silt,"S, E, & F",Sparse,20 - 49%
04/28/2010,643155,4842112,Pool 08,15.5,0.33,0,10.9,33,Connected backwater,Silt,"S, E, & F",Sparse,>50%
04/28/2014,636855,4853312,Pool 08,9.3,0.98,0,10.5,78,Isolated,Silt,Submergent,Sparse,1 - 19%
04/28/2014,638055,4853112,Pool 08,9.8,0.92,0,9.6,75,Isolated,Silt,"S, E, & F",Sparse,1 - 19%
04/28/2014,637855,4852912,Pool 08,9.7,0.9,0,9.9,72,Isolated,Silt,"S, E, & F",Sparse,1 - 19%
04/28/2014,637055,4853112,Pool 08,9.3,1.15,0,10.3,88,Isolated,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
04/28/2014,643455,4832912,Pool 08,8.5,0.71,0,10,71,Impounded lake,Silt,S & E,Sparse,1 - 19%
04/28/2021,639655,4836162,Pool 08,10.4,0.71,0.12,11,71,Side channel,Silt/Clay/Sand,Emergent,Sparse,1 - 19%
04/28/2021,640855,4833912,Pool 08,10,0.38,0.14,10.9,38,Impounded lake,Silt,S & E,Sparse,>50%
04/29/2002,643055,4840612,Pool 08,9.1,0.66,0,10.7,66,Connected backwater,Silt/Clay/Sand,S & E,Sparse,1 - 19%
04/29/2013,643054,4835511,Pool 08,16.3,1.15,0,14.8,89,Impounded lake,Silt,Submergent,Dense,>50%
04/29/2019,644405,4845012,Pool 08,10.3,2.16,0.13,9.9,90,Connected backwater,Silt,Submergent,Sparse,1 - 19%
04/29/2021,636855,4853512,Pool 08,17.9,0.49,0,12.4,49,Isolated,Silt,"S, E, & F",Dense,>50%
04/29/2021,643255,4834312,Pool 08,16.9,0.4,0,13.3,40,Isolated,Silt,"S, E, & F",Dense,>50%
04/29/2021,643455,4834912,Pool 08,16,0.85,0,10.7,85,Isolated,Silt,"S, E, & F",Dense,>50%
04/29/2021,637055,4853712,Pool 08,19.8,0.55,0,12.2,55,Isolated,Silt,"S, E, & F",Dense,>50%
04/29/2024,639255,4835862,Pool 08,11.9,0.25,0.13,10.6,25,Side channel,Sand,Emergent,Sparse,20 - 49%
04/30/1999,637055,4853112,Pool 08,18.2,0.75,0,9.7,68,Isolated,Silt,S & E,Sparse,>50%
04/30/1999,637655,4852912,Pool 08,18.3,4.55,0,9.8,55,Isolated,Silt,S & E,Sparse,>50%
04/30/2002,643255,4834512,Pool 08,12.4,0.44,0,14.6,44,Isolated,Silt,Submergent,Dense,>50%
04/30/2012,641505,4844112,Pool 08,12,0.46,0.12,12.3,46,Side channel,Silt/Clay/Sand,"S, E, & F",Sparse,1 - 19%
04/30/2012,639455,4837062,Pool 08,12,0.59,0.07,11.4,59,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
04/30/2012,737308,4660801,Pool 13,11.3,0.5,0,10.3,50,Connected backwater,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
04/30/2012,737258,4657601,Pool 13,10.8,0.5,0,10.3,50,Connected backwater,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
04/30/2014,639855,4837812,Pool 08,7.1,1.21,0.04,10.3,87,Side channel,Silt,Submergent,Sparse,1 - 19%
04/30/2019,643205,4842612,Pool 08,10.3,1.76,0.09,9.5,108,Connected backwater,Silt,Submergent,Dense,>50%
04/30/2021,581780,4913958,Pool 04,11.4,0.62,0.13,11.4,62,Side channel,Silt/Clay/Sand,Submergent,Sparse,>50%
05/01/2007,639855,4834912,Pool 08,19.2,0.5,0.1,15.5,50,Impounded lake,Silt,"S, E, & F",Dense,20 - 49%
05/01/2007,733808,4649601,Pool 13,19.4,0.54,0,8,21,Impounded lake,Silt/Clay/Sand,S & E,Dense,20 - 49%
05/01/2013,641154,4842261,Pool 08,13.1,0.97,0,11.4,48,Side channel,Silt,Submergent,Sparse,20 - 49%
05/02/2006,639655,4844112,Pool 08,17.8,1.97,0,11.3,168,Connected backwater,Silt/Clay/Sand,Submergent,Dense,1 - 19%
05/02/2006,643255,4836512,Pool 08,16.5,1.22,0.02,11.2,122,Impounded lake,Silt/Clay/Sand,Submergent,Dense,>50%
05/02/2007,640455,4841862,Pool 08,16.7,0.32,0.12,13.7,32,Side channel,Sand,Emergent,Sparse,1 - 19%
05/02/2007,639805,4840462,Pool 08,19.8,0.25,0.07,18,25,Side channel,Sand,"S, E, & F",Sparse,1 - 19%
05/02/2007,738358,4658151,Pool 13,17.9,0.57,0,9.3,57,Connected backwater,Silt/Clay/Sand,Emergent,Sparse,1 - 19%
05/02/2018,580230,4917457,Pool 04,13.7,1.6,0.12,6.9,160,Connected backwater,Silt,Submergent,Dense,>50%
05/02/2022,643055,4836712,Pool 08,9.5,0.68,0,12.7,68,Impounded lake,Silt,Submergent,Dense,>50%
05/03/1996,638255,4853512,Pool 08,11.4,1.06,0,13.9,61,Isolated,Silt,Emergent,Sparse,1 - 19%
05/03/2005,639655,4836912,Pool 08,14.7,0.18,0,18.3,18,Connected backwater,Sand,S & E,Sparse,1 - 19%
05/03/2006,642355,4845862,Pool 08,17.7,0.35,0,16.6,35,Side channel,Silt/Clay/Sand,S & E,Dense,20 - 49%
05/03/2011,640755,4840062,Pool 08,8.7,0.82,0.13,14,82,Connected backwater,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
05/03/2016,641754,4843861,Pool 08,15,0.58,0.02,11.7,58,Side channel,Silt/Clay/Sand,Submergent,Sparse,1 - 19%
05/03/2017,641455,4847512,Pool 08,10.4,2.23,0.02,11.3,91,Side channel,Silt,Submergent,Sparse,1 - 19%
05/03/2017,643055,4836312,Pool 08,10.3,1.39,0.04,12.5,110,Impounded lake,Silt/Clay/Sand,Submergent,Sparse,20 - 49%
05/04/2004,638055,4853512,Pool 08,15.3,3,0,9.8,62,Isolated,Silt,Floating,Sparse,20 - 49%
05/04/2004,638255,4853312,Pool 08,15.6,0.74,0,11.2,65,Isolated,Silt/Clay/Sand,Floating,Sparse,20 - 49%
05/04/2004,637455,4852712,Pool 08,18.5,0.29,0,11.1,29,Isolated,Silt,"S, E, & F",Dense,>50%
05/04/2010,639855,4833112,Pool 08,14.6,0.52,0,10.8,52,Impounded lake,Sand,Submergent,Sparse,1 - 19%
05/04/2011,734608,4650601,Pool 13,10.4,0.59,0,13.5,59,Impounded lake,Silt/Clay/Sand,Emergent,Sparse,20 - 49%
05/04/2017,581280,4912508,Pool 04,14.8,0.92,0.01,13.9,92,Connected backwater,Silt,S & E,Dense,>50%
05/04/2017,637055,4853312,Pool 08,14.3,0.81,0,13.6,62,Isolated,Silt,"S, E, & F",Sparse,>50%
05/04/2017,636655,4853712,Pool 08,16.2,0.78,0,12.1,70,Isolated,Silt,"S, E, & F",Sparse,>50%
05/04/2017,637455,4853312,Pool 08,15.5,0.84,0,13,56,Isolated,Silt,Floating,Sparse,>50%
05/04/2017,637255,4853112,Pool 08,14.1,0.94,0,12.7,55,Isolated,Silt,Floating,Sparse,>50%
05/04/2017,637455,4852912,Pool 08,14.5,0.72,0,12.5,65,Isolated,Silt,Floating,Sparse,>50%
05/04/2021,641155,4842162,Pool 08,18.2,0.19,0,17.4,19,Side channel,Silt,"S, E, & F",Sparse,>50%
05/04/2021,641355,4842612,Pool 08,18.9,0.23,0,16.1,23,Connected backwater,Silt,"S, E, & F",Dense,>50%
05/06/2002,640905,4843012,Pool 08,13.5,0.38,0.1,11.2,38,Side channel,Sand,S & E,Sparse,1 - 19%
05/06/2004,642105,4845012,Pool 08,15.6,0.29,0,12,29,Side channel,Silt/Clay/Sand,"S, E, & F",Sparse,1 - 19%
05/06/2004,641005,4842412,Pool 08,15.7,0.5,0.06,15,40,Side channel,Silt/Clay/Sand,S & E,Sparse,1 - 19%
05/06/2004,640755,4843262,Pool 08,18.2,0.18,0,9.6,18,Side channel,Silt/Clay/Sand,S & E,Dense,20 - 49%
05/07/2002,639155,4855312,Pool 08,14.4,0.92,0,9.5,65,Side channel,Silt/Clay/Sand,S & E,Sparse,1 - 19%
05/07/2002,636855,4853512,Pool 08,17.5,0.78,0,11.9,50,Isolated,Silt,Floating,Sparse,>50%
05/07/2002,637055,4853712,Pool 08,16.9,0.68,0,9.9,52,Isolated,Silt,Floating,Sparse,>50%
05/07/2021,733308,4669801,Pool 13,16.6,0.94,0,10.2,40,Connected backwater,Silt/Clay/Sand,Floating,Sparse,1 - 19%
05/09/1995,637255,4853512,Pool 08,12.7,0.54,0,5.8,54,Isolated,Silt,Emergent,Sparse,20 - 49%
05/09/1995,636655,4853712,Pool 08,12.6,0.56,0,5.6,56,Isolated,Silt,Emergent,Sparse,>50%
05/09/1995,638055,4853512,Pool 08,14,0.5,0,8.9,50,Isolated,Silt,Emergent,Sparse,1 - 19%
